session_uid,package,source_run,session_id,artifact_dir,frida_trace_path,agent_log_path,faithfulness_verdict,judge_version,inclusion_status,inclusion_reason,quality_tag,meaningful_event_count,coverage_gap,human_label,notes
anonvpn.anon_next.android__bulk_llm_benign_v6__2f4839ccdb6e_llm_s1,anonvpn.anon_next.android,bulk_llm_benign_v6,2f4839ccdb6e_llm_s1,logs/bulk_llm_benign_v6/2f4839ccdb6e_anonvpn.anon_next.android/dynamic/llm/session_1,logs/bulk_llm_benign_v6/2f4839ccdb6e_anonvpn.anon_next.android/dynamic/llm/session_1/anonvpn.anon_next.android_frida.jsonl,logs/bulk_llm_benign_v6/2f4839ccdb6e_anonvpn.anon_next.android/dynamic/llm/session_1/anonvpn.anon_next.android_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,0,deeper planned goals beyond early steps (10 planned),,
app.crescentcash.src__bulk_llm_benign_v6__a02b64c18d0e_llm_s1,app.crescentcash.src,bulk_llm_benign_v6,a02b64c18d0e_llm_s1,logs/bulk_llm_benign_v6/a02b64c18d0e_app.crescentcash.src/dynamic/llm/session_1,logs/bulk_llm_benign_v6/a02b64c18d0e_app.crescentcash.src/dynamic/llm/session_1/app.crescentcash.src_frida.jsonl,logs/bulk_llm_benign_v6/a02b64c18d0e_app.crescentcash.src/dynamic/llm/session_1/app.crescentcash.src_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,6,deeper planned goals beyond early steps (9 planned),,
app.crossword.yourealwaysbe.forkyz__bulk_llm_benign_v6__7127a0045a88_llm_s1,app.crossword.yourealwaysbe.forkyz,bulk_llm_benign_v6,7127a0045a88_llm_s1,logs/bulk_llm_benign_v6/7127a0045a88_app.crossword.yourealwaysbe.forkyz/dynamic/llm/session_1,logs/bulk_llm_benign_v6/7127a0045a88_app.crossword.yourealwaysbe.forkyz/dynamic/llm/session_1/app.crossword.yourealwaysbe.forkyz_frida.jsonl,logs/bulk_llm_benign_v6/7127a0045a88_app.crossword.yourealwaysbe.forkyz/dynamic/llm/session_1/app.crossword.yourealwaysbe.forkyz_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,flailing-retained-for-volume,FLAILING_SUSPECT,600,Core flows from expected use largely touched; residual: Interact with discovered UI: View · View · View · View,,flailing: mechanical_majority: 77/78 successful actions are back/wait/swipe/scroll (99%); named_functional_taps=0; dominant_screen: hash c4ea2398c234… on 78/78 steps (100%); named_functional_taps=0
app.fedilab.castlab__bulk_llm_benign_v6__5719f3b34f71_llm_s1,app.fedilab.castlab,bulk_llm_benign_v6,5719f3b34f71_llm_s1,logs/bulk_llm_benign_v6/5719f3b34f71_app.fedilab.castlab/dynamic/llm/session_1,logs/bulk_llm_benign_v6/5719f3b34f71_app.fedilab.castlab/dynamic/llm/session_1/app.fedilab.castlab_frida.jsonl,logs/bulk_llm_benign_v6/5719f3b34f71_app.fedilab.castlab/dynamic/llm/session_1/app.fedilab.castlab_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,15949,Core flows from expected use largely touched; residual: Interact with discovered UI: About menu-item View · Change theme menu-item View · Customi · Contextual menu icon-button ,,
app.fedilab.mobilizon__bulk_llm_benign_v6__9b7a3d5efee6_llm_s1,app.fedilab.mobilizon,bulk_llm_benign_v6,9b7a3d5efee6_llm_s1,logs/bulk_llm_benign_v6/9b7a3d5efee6_app.fedilab.mobilizon/dynamic/llm/session_1,logs/bulk_llm_benign_v6/9b7a3d5efee6_app.fedilab.mobilizon/dynamic/llm/session_1/app.fedilab.mobilizon_frida.jsonl,logs/bulk_llm_benign_v6/9b7a3d5efee6_app.fedilab.mobilizon/dynamic/llm/session_1/app.fedilab.mobilizon_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,139,deeper planned goals beyond early steps (10 planned),,
app.fedilab.nitterizemelite__bulk_llm_benign_v6__30ae40611f5f_llm_s1,app.fedilab.nitterizemelite,bulk_llm_benign_v6,30ae40611f5f_llm_s1,logs/bulk_llm_benign_v6/30ae40611f5f_app.fedilab.nitterizemelite/dynamic/llm/session_1,logs/bulk_llm_benign_v6/30ae40611f5f_app.fedilab.nitterizemelite/dynamic/llm/session_1/app.fedilab.nitterizemelite_frida.jsonl,logs/bulk_llm_benign_v6/30ae40611f5f_app.fedilab.nitterizemelite/dynamic/llm/session_1/app.fedilab.nitterizemelite_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,500,deeper planned goals beyond early steps (10 planned),FAITHFUL,
app.hypostats__bulk_llm_benign_v6__56ba09e3fd7c_llm_s1,app.hypostats,bulk_llm_benign_v6,56ba09e3fd7c_llm_s1,logs/bulk_llm_benign_v6/56ba09e3fd7c_app.hypostats/dynamic/llm/session_1,logs/bulk_llm_benign_v6/56ba09e3fd7c_app.hypostats/dynamic/llm/session_1/app.hypostats_frida.jsonl,logs/bulk_llm_benign_v6/56ba09e3fd7c_app.hypostats/dynamic/llm/session_1/app.hypostats_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,flailing-retained-for-volume,FLAILING_SUSPECT,2,Core flows from expected use largely touched; residual: Interact with discovered UI: View · View · View · View · View · View · View,,flailing: mechanical_majority: 58/59 successful actions are back/wait/swipe/scroll (98%); named_functional_taps=0; dominant_screen: hash 268a85911eb7… on 59/59 steps (100%); named_functional_taps=0
app.michaelwuensch.bitbanana__bulk_llm_benign_v6__36bdbc1733f0_llm_s1,app.michaelwuensch.bitbanana,bulk_llm_benign_v6,36bdbc1733f0_llm_s1,logs/bulk_llm_benign_v6/36bdbc1733f0_app.michaelwuensch.bitbanana/dynamic/llm/session_1,logs/bulk_llm_benign_v6/36bdbc1733f0_app.michaelwuensch.bitbanana/dynamic/llm/session_1/app.michaelwuensch.bitbanana_frida.jsonl,logs/bulk_llm_benign_v6/36bdbc1733f0_app.michaelwuensch.bitbanana/dynamic/llm/session_1/app.michaelwuensch.bitbanana_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,2169,deeper planned goals beyond early steps (6 planned),,
app.myzel394.alibi__bulk_llm_benign_v6__f50b1a642361_llm_s1,app.myzel394.alibi,bulk_llm_benign_v6,f50b1a642361_llm_s1,logs/bulk_llm_benign_v6/f50b1a642361_app.myzel394.alibi/dynamic/llm/session_1,logs/bulk_llm_benign_v6/f50b1a642361_app.myzel394.alibi/dynamic/llm/session_1/app.myzel394.alibi_frida.jsonl,logs/bulk_llm_benign_v6/f50b1a642361_app.myzel394.alibi/dynamic/llm/session_1/app.myzel394.alibi_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,flailing-retained-for-volume,FLAILING_SUSPECT,2,Core flows from expected use largely touched; residual: Interact with discovered UI: View,,flailing: mechanical_majority: 63/64 successful actions are back/wait/swipe/scroll (98%); named_functional_taps=0; dominant_screen: hash 3b601ecf4b9d… on 64/64 steps (100%); named_functional_taps=0
app.notesr__bulk_llm_benign_v6__3d3afadebd74_llm_s1,app.notesr,bulk_llm_benign_v6,3d3afadebd74_llm_s1,logs/bulk_llm_benign_v6/3d3afadebd74_app.notesr/dynamic/llm/session_1,logs/bulk_llm_benign_v6/3d3afadebd74_app.notesr/dynamic/llm/session_1/app.notesr_frida.jsonl,logs/bulk_llm_benign_v6/3d3afadebd74_app.notesr/dynamic/llm/session_1/app.notesr_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,9,deeper planned goals beyond early steps (10 planned),,
app.panoramax__bulk_llm_benign_v6__17238a578a93_llm_s1,app.panoramax,bulk_llm_benign_v6,17238a578a93_llm_s1,logs/bulk_llm_benign_v6/17238a578a93_app.panoramax/dynamic/llm/session_1,logs/bulk_llm_benign_v6/17238a578a93_app.panoramax/dynamic/llm/session_1/app.panoramax_frida.jsonl,logs/bulk_llm_benign_v6/17238a578a93_app.panoramax/dynamic/llm/session_1/app.panoramax_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,8,deeper planned goals beyond early steps (9 planned),,
app.podiumpodcasts.podium__bulk_llm_benign_v6__8d76ad598108_llm_s1,app.podiumpodcasts.podium,bulk_llm_benign_v6,8d76ad598108_llm_s1,logs/bulk_llm_benign_v6/8d76ad598108_app.podiumpodcasts.podium/dynamic/llm/session_1,logs/bulk_llm_benign_v6/8d76ad598108_app.podiumpodcasts.podium/dynamic/llm/session_1/app.podiumpodcasts.podium_frida.jsonl,logs/bulk_llm_benign_v6/8d76ad598108_app.podiumpodcasts.podium/dynamic/llm/session_1/app.podiumpodcasts.podium_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,flailing-retained-for-volume,FLAILING_SUSPECT,28,"Core flows from expected use largely touched; residual: Browse library, play or queue tracks, navigate artists/albums/playlists",,flailing: mechanical_majority: 65/66 successful actions are back/wait/swipe/scroll (98%); named_functional_taps=0; dominant_screen: hash 1c6e5ba30ebd… on 66/66 steps (100%); named_functional_taps=0
app.prav.client__bulk_llm_benign_v6__e4a6cdb972a2_llm_s1,app.prav.client,bulk_llm_benign_v6,e4a6cdb972a2_llm_s1,logs/bulk_llm_benign_v6/e4a6cdb972a2_app.prav.client/dynamic/llm/session_1,logs/bulk_llm_benign_v6/e4a6cdb972a2_app.prav.client/dynamic/llm/session_1/app.prav.client_frida.jsonl,logs/bulk_llm_benign_v6/e4a6cdb972a2_app.prav.client/dynamic/llm/session_1/app.prav.client_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,63,deeper planned goals beyond early steps (8 planned),,
app.pwhs.universalinstaller__bulk_llm_benign_v6__5930f0759e7f_llm_s1,app.pwhs.universalinstaller,bulk_llm_benign_v6,5930f0759e7f_llm_s1,logs/bulk_llm_benign_v6/5930f0759e7f_app.pwhs.universalinstaller/dynamic/llm/session_1,logs/bulk_llm_benign_v6/5930f0759e7f_app.pwhs.universalinstaller/dynamic/llm/session_1/app.pwhs.universalinstaller_frida.jsonl,logs/bulk_llm_benign_v6/5930f0759e7f_app.pwhs.universalinstaller/dynamic/llm/session_1/app.pwhs.universalinstaller_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,flailing-retained-for-volume,FLAILING_SUSPECT,27,Core flows from expected use largely touched; residual: Interact with discovered UI: View · View,,flailing: mechanical_majority: 62/63 successful actions are back/wait/swipe/scroll (98%); named_functional_taps=0; dominant_screen: hash a4c72aaab2e3… on 63/63 steps (100%); named_functional_taps=0
app.reading.stoic.stoicreading2__bulk_llm_benign_v6__91d832e67662_llm_s1,app.reading.stoic.stoicreading2,bulk_llm_benign_v6,91d832e67662_llm_s1,logs/bulk_llm_benign_v6/91d832e67662_app.reading.stoic.stoicreading2/dynamic/llm/session_1,logs/bulk_llm_benign_v6/91d832e67662_app.reading.stoic.stoicreading2/dynamic/llm/session_1/app.reading.stoic.stoicreading2_frida.jsonl,logs/bulk_llm_benign_v6/91d832e67662_app.reading.stoic.stoicreading2/dynamic/llm/session_1/app.reading.stoic.stoicreading2_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,0,Core flows from expected use largely touched; residual: Interact with discovered UI: ARATUS OF SOLI aratus_button Button · ASCLEPIODOTUS TACTICUS · EPITOME didymus_epitome Butt,,
app.simple.peri__bulk_llm_benign_v6__2ebf055b2de5_llm_s1,app.simple.peri,bulk_llm_benign_v6,2ebf055b2de5_llm_s1,logs/bulk_llm_benign_v6/2ebf055b2de5_app.simple.peri/dynamic/llm/session_1,logs/bulk_llm_benign_v6/2ebf055b2de5_app.simple.peri/dynamic/llm/session_1/app.simple.peri_frida.jsonl,logs/bulk_llm_benign_v6/2ebf055b2de5_app.simple.peri/dynamic/llm/session_1/app.simple.peri_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,flailing-retained-for-volume,FLAILING_SUSPECT,77,Core flows from expected use largely touched; residual: Interact with discovered UI: View · View · View · View,,flailing: mechanical_majority: 68/69 successful actions are back/wait/swipe/scroll (99%); named_functional_taps=0
app.smarzaro.foss4g2024.schedule__bulk_llm_benign_v6__9d19a4392a17_llm_s1,app.smarzaro.foss4g2024.schedule,bulk_llm_benign_v6,9d19a4392a17_llm_s1,logs/bulk_llm_benign_v6/9d19a4392a17_app.smarzaro.foss4g2024.schedule/dynamic/llm/session_1,logs/bulk_llm_benign_v6/9d19a4392a17_app.smarzaro.foss4g2024.schedule/dynamic/llm/session_1/app.smarzaro.foss4g2024.schedule_frida.jsonl,logs/bulk_llm_benign_v6/9d19a4392a17_app.smarzaro.foss4g2024.schedule/dynamic/llm/session_1/app.smarzaro.foss4g2024.schedule_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,290,deeper planned goals beyond early steps (8 planned),,
app.tice.TICE.production__bulk_llm_benign_v6__648d8ddb49f4_llm_s1,app.tice.TICE.production,bulk_llm_benign_v6,648d8ddb49f4_llm_s1,logs/bulk_llm_benign_v6/648d8ddb49f4_app.tice.TICE.production/dynamic/llm/session_1,logs/bulk_llm_benign_v6/648d8ddb49f4_app.tice.TICE.production/dynamic/llm/session_1/app.tice.TICE.production_frida.jsonl,logs/bulk_llm_benign_v6/648d8ddb49f4_app.tice.TICE.production/dynamic/llm/session_1/app.tice.TICE.production_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,2236,deeper planned goals beyond early steps (10 planned),,
app.traced_it__bulk_llm_benign_v6__053ae15640c3_llm_s1,app.traced_it,bulk_llm_benign_v6,053ae15640c3_llm_s1,logs/bulk_llm_benign_v6/053ae15640c3_app.traced_it/dynamic/llm/session_1,logs/bulk_llm_benign_v6/053ae15640c3_app.traced_it/dynamic/llm/session_1/app.traced_it_frida.jsonl,logs/bulk_llm_benign_v6/053ae15640c3_app.traced_it/dynamic/llm/session_1/app.traced_it_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,0,Core flows from expected use largely touched; residual: Interact with discovered UI: entryListNewEntryButton View · View,,
app.tujice.jergasColombia__bulk_llm_benign_v6__ef6177e39b1d_llm_s1,app.tujice.jergasColombia,bulk_llm_benign_v6,ef6177e39b1d_llm_s1,logs/bulk_llm_benign_v6/ef6177e39b1d_app.tujice.jergasColombia/dynamic/llm/session_1,logs/bulk_llm_benign_v6/ef6177e39b1d_app.tujice.jergasColombia/dynamic/llm/session_1/app.tujice.jergasColombia_frida.jsonl,logs/bulk_llm_benign_v6/ef6177e39b1d_app.tujice.jergasColombia/dynamic/llm/session_1/app.tujice.jergasColombia_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,32,Core flows from expected use largely touched; residual: Interact with discovered UI: Frases tvFrases TextView · Palabras tvPalabras TextView · Mo · visorDefiniciones WebView · ,,
app.umerfarooq.websocketcam__bulk_llm_benign_v6__5bf09d291fba_llm_s1,app.umerfarooq.websocketcam,bulk_llm_benign_v6,5bf09d291fba_llm_s1,logs/bulk_llm_benign_v6/5bf09d291fba_app.umerfarooq.websocketcam/dynamic/llm/session_1,logs/bulk_llm_benign_v6/5bf09d291fba_app.umerfarooq.websocketcam/dynamic/llm/session_1/app.umerfarooq.websocketcam_frida.jsonl,logs/bulk_llm_benign_v6/5bf09d291fba_app.umerfarooq.websocketcam/dynamic/llm/session_1/app.umerfarooq.websocketcam_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,flailing-retained-for-volume,FLAILING_SUSPECT,2,Core flows from expected use largely touched; residual: Interact with discovered UI: View · View · View · View · View · View · Button · Button,,flailing: mechanical_majority: 67/68 successful actions are back/wait/swipe/scroll (99%); named_functional_taps=0; dominant_screen: hash 2f8b8778ce36… on 68/68 steps (100%); named_functional_taps=0
app.varlorg.unote__bulk_llm_benign_v6__66398ab95c74_llm_s1,app.varlorg.unote,bulk_llm_benign_v6,66398ab95c74_llm_s1,logs/bulk_llm_benign_v6/66398ab95c74_app.varlorg.unote/dynamic/llm/session_1,logs/bulk_llm_benign_v6/66398ab95c74_app.varlorg.unote/dynamic/llm/session_1/app.varlorg.unote_frida.jsonl,logs/bulk_llm_benign_v6/66398ab95c74_app.varlorg.unote/dynamic/llm/session_1/app.varlorg.unote_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,1863,deeper planned goals beyond early steps (6 planned),,
app.wispar.wispar__bulk_llm_benign_v6__7624058ce668_llm_s1,app.wispar.wispar,bulk_llm_benign_v6,7624058ce668_llm_s1,logs/bulk_llm_benign_v6/7624058ce668_app.wispar.wispar/dynamic/llm/session_1,logs/bulk_llm_benign_v6/7624058ce668_app.wispar.wispar/dynamic/llm/session_1/app.wispar.wispar_frida.jsonl,logs/bulk_llm_benign_v6/7624058ce668_app.wispar.wispar/dynamic/llm/session_1/app.wispar.wispar_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,31,Core flows from expected use largely touched; residual: Interact with discovered UI: Get Started Button · Downloads View · Favorites View · Home View · Library View · · Downloa,,
app.zimly.backup__bulk_llm_benign_v6__43ed539af99b_llm_s1,app.zimly.backup,bulk_llm_benign_v6,43ed539af99b_llm_s1,logs/bulk_llm_benign_v6/43ed539af99b_app.zimly.backup/dynamic/llm/session_1,logs/bulk_llm_benign_v6/43ed539af99b_app.zimly.backup/dynamic/llm/session_1/app.zimly.backup_frida.jsonl,logs/bulk_llm_benign_v6/43ed539af99b_app.zimly.backup/dynamic/llm/session_1/app.zimly.backup_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,flailing-retained-for-volume,FLAILING_SUSPECT,2,Core flows from expected use largely touched; residual: Interact with discovered UI: View · View,,flailing: mechanical_majority: 66/67 successful actions are back/wait/swipe/scroll (99%); named_functional_taps=0; dominant_screen: hash c5bef23bc2fd… on 67/67 steps (100%); named_functional_taps=0
aq.metallists.loudbang__bulk_llm_benign_v6__714e56ae2182_llm_s1,aq.metallists.loudbang,bulk_llm_benign_v6,714e56ae2182_llm_s1,logs/bulk_llm_benign_v6/714e56ae2182_aq.metallists.loudbang/dynamic/llm/session_1,logs/bulk_llm_benign_v6/714e56ae2182_aq.metallists.loudbang/dynamic/llm/session_1/aq.metallists.loudbang_frida.jsonl,logs/bulk_llm_benign_v6/714e56ae2182_aq.metallists.loudbang/dynamic/llm/session_1/aq.metallists.loudbang_llm_actions.jsonl,PARTIAL,judge_v1_75pct,INCLUDED,partial,LOW_CONFIDENCE,22,login-gated or secondary flows beyond initial functional screen; deeper planned goals beyond early steps (8 planned),,
askanimus.arbeitszeiterfassung2__bulk_llm_benign_v6__0bdafb823df0_llm_s1,askanimus.arbeitszeiterfassung2,bulk_llm_benign_v6,0bdafb823df0_llm_s1,logs/bulk_llm_benign_v6/0bdafb823df0_askanimus.arbeitszeiterfassung2/dynamic/llm/session_1,logs/bulk_llm_benign_v6/0bdafb823df0_askanimus.arbeitszeiterfassung2/dynamic/llm/session_1/askanimus.arbeitszeiterfassung2_frida.jsonl,logs/bulk_llm_benign_v6/0bdafb823df0_askanimus.arbeitszeiterfassung2/dynamic/llm/session_1/askanimus.arbeitszeiterfassung2_llm_actions.jsonl,FAITHFUL,judge_v1_75pct,INCLUDED,faithful,FAITHFUL_VALIDATED,1510,deeper planned goals beyond early steps (5 planned),,
