session_id,package,app_class,tier,tags,sim_status,faithfulness_verdict,effective_ft,back_wait_ratio,meaningful_frida_22cat,coverage_gap,artifact_dir,frida_trace_path,agent_log_path,named_functional_explore_taps,functional_explore_screens,c0_pass,analyze_status,data_quality_status,session_mode,hook_version
820f4f9977a2_llm_s2,acr.browser.lightning,browser,volume,FAITHFUL_VALIDATED|FLAILING_SUSPECT,success,FAITHFUL,41,0.0238,594,deeper planned goals beyond early steps (5 planned),logs/bulk_llm_benign_v2/820f4f9977a2_acr.browser.lightning/dynamic/llm/session_2,logs/bulk_llm_benign_v2/820f4f9977a2_acr.browser.lightning/dynamic/llm/session_2/acr.browser.lightning_frida.jsonl,logs/bulk_llm_benign_v2/820f4f9977a2_acr.browser.lightning/dynamic/llm/session_2/acr.browser.lightning_llm_actions.jsonl,41,6,yes,success,good,identical,3
820f4f9977a2_llm_s3,acr.browser.lightning,browser,volume,FAITHFUL_VALIDATED|FLAILING_SUSPECT,success,FAITHFUL,41,0.0238,594,deeper planned goals beyond early steps (5 planned),logs/bulk_llm_benign_v2/820f4f9977a2_acr.browser.lightning/dynamic/llm/session_3,logs/bulk_llm_benign_v2/820f4f9977a2_acr.browser.lightning/dynamic/llm/session_3/acr.browser.lightning_frida.jsonl,logs/bulk_llm_benign_v2/820f4f9977a2_acr.browser.lightning/dynamic/llm/session_3/acr.browser.lightning_llm_actions.jsonl,41,6,yes,success,good,varied,3
3f8f31a5b92b_llm_s1,ademar.bitac,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,50,0.0,32,Core flows from expected use largely touched; residual: Interact with discovered UI: CHECK ADDRESS action Button · More options ImageView · CANCEL input_cancel Button · CHECK i,logs/bulk_llm_benign_v2/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_1,logs/bulk_llm_benign_v2/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_1/ademar.bitac_frida.jsonl,logs/bulk_llm_benign_v2/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_1/ademar.bitac_llm_actions.jsonl,50,4,yes,success,good,identical,3
3f8f31a5b92b_llm_s2,ademar.bitac,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,50,0.0,32,Core flows from expected use largely touched; residual: Interact with discovered UI: CHECK ADDRESS action Button · More options ImageView · CANCEL input_cancel Button · CHECK i,logs/bulk_llm_benign_v2/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_2,logs/bulk_llm_benign_v2/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_2/ademar.bitac_frida.jsonl,logs/bulk_llm_benign_v2/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_2/ademar.bitac_llm_actions.jsonl,50,4,yes,success,good,identical,3
3f8f31a5b92b_llm_s3,ademar.bitac,other,volume,FAITHFUL_VALIDATED,failed:no_goal_progress,PARTIAL,49,0.0,31,Core flows from expected use largely touched; residual: Interact with discovered UI: CHECK ADDRESS action Button · More options ImageView · CANCEL input_cancel Button · CHECK i,logs/bulk_llm_benign_v2/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_3,logs/bulk_llm_benign_v2/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_3/ademar.bitac_frida.jsonl,logs/bulk_llm_benign_v2/3f8f31a5b92b_ademar.bitac/dynamic/llm/session_3/ademar.bitac_llm_actions.jsonl,49,4,yes,success,good,varied,3
dbe9cbe58703_llm_s1,ademar.textlauncher,launcher,volume,FLAILING_SUSPECT|ZERO_MEANINGFUL_FRIDA|LAUNCHER,failed:partial:agent_stuck,FAILED,1,0.6667,0,login-gated or secondary flows beyond initial functional screen,logs/bulk_llm_benign_v2/dbe9cbe58703_ademar.textlauncher/dynamic/llm/session_1,logs/bulk_llm_benign_v2/dbe9cbe58703_ademar.textlauncher/dynamic/llm/session_1/ademar.textlauncher_frida.jsonl,logs/bulk_llm_benign_v2/dbe9cbe58703_ademar.textlauncher/dynamic/llm/session_1/ademar.textlauncher_llm_actions.jsonl,0,2,yes,success,weak:low_events,identical,3
dbe9cbe58703_llm_s2,ademar.textlauncher,launcher,volume,FLAILING_SUSPECT|ZERO_MEANINGFUL_FRIDA|LAUNCHER,failed:partial:agent_stuck,FAILED,1,0.6667,0,login-gated or secondary flows beyond initial functional screen,logs/bulk_llm_benign_v2/dbe9cbe58703_ademar.textlauncher/dynamic/llm/session_2,logs/bulk_llm_benign_v2/dbe9cbe58703_ademar.textlauncher/dynamic/llm/session_2/ademar.textlauncher_frida.jsonl,logs/bulk_llm_benign_v2/dbe9cbe58703_ademar.textlauncher/dynamic/llm/session_2/ademar.textlauncher_llm_actions.jsonl,0,2,yes,success,weak:low_events,identical,3
dbe9cbe58703_llm_s3,ademar.textlauncher,launcher,volume,FLAILING_SUSPECT|ZERO_MEANINGFUL_FRIDA|LAUNCHER,failed:partial:agent_stuck,FAILED,1,0.6667,0,login-gated or secondary flows beyond initial functional screen,logs/bulk_llm_benign_v2/dbe9cbe58703_ademar.textlauncher/dynamic/llm/session_3,logs/bulk_llm_benign_v2/dbe9cbe58703_ademar.textlauncher/dynamic/llm/session_3/ademar.textlauncher_frida.jsonl,logs/bulk_llm_benign_v2/dbe9cbe58703_ademar.textlauncher/dynamic/llm/session_3/ademar.textlauncher_llm_actions.jsonl,0,2,yes,success,weak:low_events,varied,3
2aaffda626ec_llm_s1,agersant.polaris,other,volume,FAITHFUL_VALIDATED|FLAILING_SUSPECT,failed:no_goal_progress,PARTIAL,28,0.0,1,Core flows from expected use largely touched; residual: Interact with discovered UI: CONNECT Button · EditText,logs/bulk_llm_benign_v2/2aaffda626ec_agersant.polaris/dynamic/llm/session_1,logs/bulk_llm_benign_v2/2aaffda626ec_agersant.polaris/dynamic/llm/session_1/agersant.polaris_frida.jsonl,logs/bulk_llm_benign_v2/2aaffda626ec_agersant.polaris/dynamic/llm/session_1/agersant.polaris_llm_actions.jsonl,28,1,yes,success,weak:low_meaningful_events,identical,3
2aaffda626ec_llm_s2,agersant.polaris,other,volume,FAITHFUL_VALIDATED|FLAILING_SUSPECT,failed:bad_handoff,FAITHFUL,30,0.0,79,post-explore execute goals not reached,logs/bulk_llm_benign_v2/2aaffda626ec_agersant.polaris/dynamic/llm/session_2,logs/bulk_llm_benign_v2/2aaffda626ec_agersant.polaris/dynamic/llm/session_2/agersant.polaris_frida.jsonl,logs/bulk_llm_benign_v2/2aaffda626ec_agersant.polaris/dynamic/llm/session_2/agersant.polaris_llm_actions.jsonl,30,2,yes,success,good,identical,3
2aaffda626ec_llm_s3,agersant.polaris,other,volume,FAITHFUL_VALIDATED|FLAILING_SUSPECT,failed:bad_handoff,FAITHFUL,28,0.0,79,post-explore execute goals not reached,logs/bulk_llm_benign_v2/2aaffda626ec_agersant.polaris/dynamic/llm/session_3,logs/bulk_llm_benign_v2/2aaffda626ec_agersant.polaris/dynamic/llm/session_3/agersant.polaris_frida.jsonl,logs/bulk_llm_benign_v2/2aaffda626ec_agersant.polaris/dynamic/llm/session_3/agersant.polaris_llm_actions.jsonl,28,2,yes,success,good,varied,3
13a5b49070c9_llm_s1,agrigolo.chubbyclick,game,volume,FAITHFUL_VALIDATED|CANVAS_OR_GAME,failed:no_goal_progress,PARTIAL,49,0.0,1082,Core flows from expected use largely touched; residual: Interact with discovered UI: Home navigation_home FrameLayout · Practice navigation_pract · Home navigation_home FrameLa,logs/bulk_llm_benign_v2/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_1,logs/bulk_llm_benign_v2/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_1/agrigolo.chubbyclick_frida.jsonl,logs/bulk_llm_benign_v2/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_1/agrigolo.chubbyclick_llm_actions.jsonl,48,14,yes,success,good,identical,3
13a5b49070c9_llm_s2,agrigolo.chubbyclick,game,volume,FAITHFUL_VALIDATED|CANVAS_OR_GAME,failed:no_goal_progress,PARTIAL,49,0.0,1072,Core flows from expected use largely touched; residual: Interact with discovered UI: Home navigation_home FrameLayout · Practice navigation_pract · Home navigation_home FrameLa,logs/bulk_llm_benign_v2/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_2,logs/bulk_llm_benign_v2/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_2/agrigolo.chubbyclick_frida.jsonl,logs/bulk_llm_benign_v2/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_2/agrigolo.chubbyclick_llm_actions.jsonl,48,14,yes,success,good,identical,3
13a5b49070c9_llm_s3,agrigolo.chubbyclick,game,volume,FAITHFUL_VALIDATED|CANVAS_OR_GAME,failed:no_goal_progress,PARTIAL,50,0.0,1086,Core flows from expected use largely touched; residual: Interact with discovered UI: Home navigation_home FrameLayout · Practice navigation_pract · Home navigation_home FrameLa,logs/bulk_llm_benign_v2/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_3,logs/bulk_llm_benign_v2/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_3/agrigolo.chubbyclick_frida.jsonl,logs/bulk_llm_benign_v2/13a5b49070c9_agrigolo.chubbyclick/dynamic/llm/session_3/agrigolo.chubbyclick_llm_actions.jsonl,49,14,yes,success,good,varied,3
9347877bc340_llm_s1,agrigolo.opendrummer,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,50,0.0,2,deeper planned goals beyond early steps (7 planned),logs/bulk_llm_benign_v2/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_1,logs/bulk_llm_benign_v2/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_1/agrigolo.opendrummer_frida.jsonl,logs/bulk_llm_benign_v2/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_1/agrigolo.opendrummer_llm_actions.jsonl,50,3,yes,success,weak:low_meaningful_events,identical,3
9347877bc340_llm_s2,agrigolo.opendrummer,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,50,0.0,2,deeper planned goals beyond early steps (7 planned),logs/bulk_llm_benign_v2/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_2,logs/bulk_llm_benign_v2/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_2/agrigolo.opendrummer_frida.jsonl,logs/bulk_llm_benign_v2/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_2/agrigolo.opendrummer_llm_actions.jsonl,50,3,yes,success,weak:low_meaningful_events,identical,3
9347877bc340_llm_s3,agrigolo.opendrummer,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,50,0.0,2,deeper planned goals beyond early steps (7 planned),logs/bulk_llm_benign_v2/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_3,logs/bulk_llm_benign_v2/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_3/agrigolo.opendrummer_frida.jsonl,logs/bulk_llm_benign_v2/9347877bc340_agrigolo.opendrummer/dynamic/llm/session_3/agrigolo.opendrummer_llm_actions.jsonl,50,3,yes,success,weak:low_meaningful_events,varied,3
6f8510108099_llm_s1,ai.susi,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,30,0.2857,401,deeper planned goals beyond early steps (10 planned),logs/bulk_llm_benign_v2/6f8510108099_ai.susi/dynamic/llm/session_1,logs/bulk_llm_benign_v2/6f8510108099_ai.susi/dynamic/llm/session_1/ai.susi_frida.jsonl,logs/bulk_llm_benign_v2/6f8510108099_ai.susi/dynamic/llm/session_1/ai.susi_llm_actions.jsonl,30,7,yes,success,good,identical,3
6f8510108099_llm_s2,ai.susi,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,31,0.2955,408,deeper planned goals beyond early steps (10 planned),logs/bulk_llm_benign_v2/6f8510108099_ai.susi/dynamic/llm/session_2,logs/bulk_llm_benign_v2/6f8510108099_ai.susi/dynamic/llm/session_2/ai.susi_frida.jsonl,logs/bulk_llm_benign_v2/6f8510108099_ai.susi/dynamic/llm/session_2/ai.susi_llm_actions.jsonl,31,6,yes,success,good,identical,3
6f8510108099_llm_s3,ai.susi,other,reference,FAITHFUL_VALIDATED,success,FAITHFUL,31,0.2955,421,deeper planned goals beyond early steps (10 planned),logs/bulk_llm_benign_v2/6f8510108099_ai.susi/dynamic/llm/session_3,logs/bulk_llm_benign_v2/6f8510108099_ai.susi/dynamic/llm/session_3/ai.susi_frida.jsonl,logs/bulk_llm_benign_v2/6f8510108099_ai.susi/dynamic/llm/session_3/ai.susi_llm_actions.jsonl,31,6,yes,success,good,varied,3
20eea522f8d4_llm_s1,akk.astro.droid.moonphase,other,volume,FLAILING_SUSPECT|ZERO_MEANINGFUL_FRIDA|EXPLORE_NON_NAVIGABLE,failed:explore_non_navigable,FAILED,0,1.0,0,Core flows from expected use largely touched; residual: Inferred unknown application behavior from APK metadata.,logs/bulk_llm_benign_v2/20eea522f8d4_akk.astro.droid.moonphase/dynamic/llm/session_1,logs/bulk_llm_benign_v2/20eea522f8d4_akk.astro.droid.moonphase/dynamic/llm/session_1/akk.astro.droid.moonphase_frida.jsonl,logs/bulk_llm_benign_v2/20eea522f8d4_akk.astro.droid.moonphase/dynamic/llm/session_1/akk.astro.droid.moonphase_llm_actions.jsonl,0,0,no,success,weak:low_events,identical,3
20eea522f8d4_llm_s2,akk.astro.droid.moonphase,other,volume,FLAILING_SUSPECT|ZERO_MEANINGFUL_FRIDA|EXPLORE_NON_NAVIGABLE,failed:explore_non_navigable,FAILED,0,1.0,0,Core flows from expected use largely touched; residual: Inferred unknown application behavior from APK metadata.,logs/bulk_llm_benign_v2/20eea522f8d4_akk.astro.droid.moonphase/dynamic/llm/session_2,logs/bulk_llm_benign_v2/20eea522f8d4_akk.astro.droid.moonphase/dynamic/llm/session_2/akk.astro.droid.moonphase_frida.jsonl,logs/bulk_llm_benign_v2/20eea522f8d4_akk.astro.droid.moonphase/dynamic/llm/session_2/akk.astro.droid.moonphase_llm_actions.jsonl,0,0,no,success,weak:low_events,identical,3
20eea522f8d4_llm_s3,akk.astro.droid.moonphase,other,volume,FLAILING_SUSPECT|ZERO_MEANINGFUL_FRIDA|EXPLORE_NON_NAVIGABLE,failed:explore_non_navigable,FAILED,0,1.0,0,Core flows from expected use largely touched; residual: Inferred unknown application behavior from APK metadata.,logs/bulk_llm_benign_v2/20eea522f8d4_akk.astro.droid.moonphase/dynamic/llm/session_3,logs/bulk_llm_benign_v2/20eea522f8d4_akk.astro.droid.moonphase/dynamic/llm/session_3/akk.astro.droid.moonphase_frida.jsonl,logs/bulk_llm_benign_v2/20eea522f8d4_akk.astro.droid.moonphase/dynamic/llm/session_3/akk.astro.droid.moonphase_llm_actions.jsonl,0,0,no,success,weak:low_events,varied,3
03893d063f7b_llm_s1,allen.town.focus.mastodon,comm,volume,AUTH_GATED,failed:skip:login_required,FAILED,7,0.0,1040,login-gated or secondary flows beyond initial functional screen,logs/bulk_llm_benign_v2/03893d063f7b_allen.town.focus.mastodon/dynamic/llm/session_1,logs/bulk_llm_benign_v2/03893d063f7b_allen.town.focus.mastodon/dynamic/llm/session_1/allen.town.focus.mastodon_frida.jsonl,logs/bulk_llm_benign_v2/03893d063f7b_allen.town.focus.mastodon/dynamic/llm/session_1/allen.town.focus.mastodon_llm_actions.jsonl,7,6,yes,success,good,identical,3
03893d063f7b_llm_s2,allen.town.focus.mastodon,comm,volume,AUTH_GATED,failed:skip:login_required,FAILED,7,0.0,1034,login-gated or secondary flows beyond initial functional screen,logs/bulk_llm_benign_v2/03893d063f7b_allen.town.focus.mastodon/dynamic/llm/session_2,logs/bulk_llm_benign_v2/03893d063f7b_allen.town.focus.mastodon/dynamic/llm/session_2/allen.town.focus.mastodon_frida.jsonl,logs/bulk_llm_benign_v2/03893d063f7b_allen.town.focus.mastodon/dynamic/llm/session_2/allen.town.focus.mastodon_llm_actions.jsonl,7,6,yes,success,good,identical,3
03893d063f7b_llm_s3,allen.town.focus.mastodon,comm,volume,AUTH_GATED,failed:skip:login_required,FAILED,7,0.0,1040,login-gated or secondary flows beyond initial functional screen,logs/bulk_llm_benign_v2/03893d063f7b_allen.town.focus.mastodon/dynamic/llm/session_3,logs/bulk_llm_benign_v2/03893d063f7b_allen.town.focus.mastodon/dynamic/llm/session_3/allen.town.focus.mastodon_frida.jsonl,logs/bulk_llm_benign_v2/03893d063f7b_allen.town.focus.mastodon/dynamic/llm/session_3/allen.town.focus.mastodon_llm_actions.jsonl,7,6,yes,success,good,varied,3
cf469d1f2979_llm_s1,allen.town.focus.podcast,media,volume,FAITHFUL_VALIDATED,failed:bad_handoff,FAITHFUL,8,0.0,1092,post-explore execute goals not reached,logs/bulk_llm_benign_v2/cf469d1f2979_allen.town.focus.podcast/dynamic/llm/session_1,logs/bulk_llm_benign_v2/cf469d1f2979_allen.town.focus.podcast/dynamic/llm/session_1/allen.town.focus.podcast_frida.jsonl,logs/bulk_llm_benign_v2/cf469d1f2979_allen.town.focus.podcast/dynamic/llm/session_1/allen.town.focus.podcast_llm_actions.jsonl,8,2,yes,success,good,identical,3
cf469d1f2979_llm_s2,allen.town.focus.podcast,media,volume,FAITHFUL_VALIDATED,failed:bad_handoff,FAITHFUL,10,0.0,1215,post-explore execute goals not reached; deeper planned goals beyond early steps (9 planned),logs/bulk_llm_benign_v2/cf469d1f2979_allen.town.focus.podcast/dynamic/llm/session_2,logs/bulk_llm_benign_v2/cf469d1f2979_allen.town.focus.podcast/dynamic/llm/session_2/allen.town.focus.podcast_frida.jsonl,logs/bulk_llm_benign_v2/cf469d1f2979_allen.town.focus.podcast/dynamic/llm/session_2/allen.town.focus.podcast_llm_actions.jsonl,10,4,yes,success,good,identical,3
cf469d1f2979_llm_s3,allen.town.focus.podcast,media,volume,FAITHFUL_VALIDATED,failed:bad_handoff,FAITHFUL,8,0.0,1118,post-explore execute goals not reached,logs/bulk_llm_benign_v2/cf469d1f2979_allen.town.focus.podcast/dynamic/llm/session_3,logs/bulk_llm_benign_v2/cf469d1f2979_allen.town.focus.podcast/dynamic/llm/session_3/allen.town.focus.podcast_frida.jsonl,logs/bulk_llm_benign_v2/cf469d1f2979_allen.town.focus.podcast/dynamic/llm/session_3/allen.town.focus.podcast_llm_actions.jsonl,8,2,yes,success,good,varied,3
066ee0406d8e_llm_s1,alt.nainapps.sharepaste.fdroid,other,volume,FLAILING_SUSPECT,failed:ux_quality_gate,FAILED,2,0.9474,22,Core flows from expected use largely touched; residual: Interact with discovered UI: Burn on read toggle switch View · View · View · View · View ,logs/bulk_llm_benign_v2/066ee0406d8e_alt.nainapps.sharepaste.fdroid/dynamic/llm/session_1,logs/bulk_llm_benign_v2/066ee0406d8e_alt.nainapps.sharepaste.fdroid/dynamic/llm/session_1/alt.nainapps.sharepaste.fdroid_frida.jsonl,logs/bulk_llm_benign_v2/066ee0406d8e_alt.nainapps.sharepaste.fdroid/dynamic/llm/session_1/alt.nainapps.sharepaste.fdroid_llm_actions.jsonl,2,1,no,success,good,identical,3
066ee0406d8e_llm_s2,alt.nainapps.sharepaste.fdroid,other,volume,FLAILING_SUSPECT,failed:ux_quality_gate,FAILED,2,0.9474,22,Core flows from expected use largely touched; residual: Interact with discovered UI: Burn on read toggle switch View · View · View · View · View ,logs/bulk_llm_benign_v2/066ee0406d8e_alt.nainapps.sharepaste.fdroid/dynamic/llm/session_2,logs/bulk_llm_benign_v2/066ee0406d8e_alt.nainapps.sharepaste.fdroid/dynamic/llm/session_2/alt.nainapps.sharepaste.fdroid_frida.jsonl,logs/bulk_llm_benign_v2/066ee0406d8e_alt.nainapps.sharepaste.fdroid/dynamic/llm/session_2/alt.nainapps.sharepaste.fdroid_llm_actions.jsonl,2,1,no,success,good,identical,3
066ee0406d8e_llm_s3,alt.nainapps.sharepaste.fdroid,other,volume,FLAILING_SUSPECT,failed:ux_quality_gate,FAILED,2,0.9474,22,Core flows from expected use largely touched; residual: Interact with discovered UI: Burn on read toggle switch View · View · View · View · View ,logs/bulk_llm_benign_v2/066ee0406d8e_alt.nainapps.sharepaste.fdroid/dynamic/llm/session_3,logs/bulk_llm_benign_v2/066ee0406d8e_alt.nainapps.sharepaste.fdroid/dynamic/llm/session_3/alt.nainapps.sharepaste.fdroid_frida.jsonl,logs/bulk_llm_benign_v2/066ee0406d8e_alt.nainapps.sharepaste.fdroid/dynamic/llm/session_3/alt.nainapps.sharepaste.fdroid_llm_actions.jsonl,2,1,no,success,good,varied,3
8a8e803d2397_llm_s1,amirz.dngprocessor,other,volume,FLAILING_SUSPECT|EXPLORE_NON_NAVIGABLE,failed:explore_non_navigable,FAILED,0,1.0,132,Core flows from expected use largely touched; residual: General app (amirz.dngprocessor),logs/bulk_llm_benign_v2/8a8e803d2397_amirz.dngprocessor/dynamic/llm/session_1,logs/bulk_llm_benign_v2/8a8e803d2397_amirz.dngprocessor/dynamic/llm/session_1/amirz.dngprocessor_frida.jsonl,logs/bulk_llm_benign_v2/8a8e803d2397_amirz.dngprocessor/dynamic/llm/session_1/amirz.dngprocessor_llm_actions.jsonl,0,0,no,success,weak:low_meaningful_categories,identical,3
